Oxygen Alumnium Silicon                 
   1.00000000000000     
    11.5987346329227469    0.9299197497993596   -0.1112483691907000
     1.0104741468590410    8.1483926798477526    0.9601185585944932
    -0.4520450457076049    1.7341531482867649   13.8313884072117998
  17   4   5
Cartesian
   0.77532990  8.65767797 14.12248638
  10.37022105  6.66132580 14.07067801
   3.61342209  5.98874468  1.75591055
   5.58414774  7.86137855 14.12628365
   4.07228050  8.38207304  0.95462887
   6.12013260  7.41458287  2.85916664
   4.38033805  5.26186345 14.00352674
   2.16735927  3.30429727  1.39415603
   5.29921869  3.59066416  1.70085425
   8.78934437  6.46334736  0.98077675
  10.30255959  8.81820300  1.19739120
   8.68686183  7.95943725  3.22967632
   9.97736515  4.54853764  2.43083627
   8.04194493  3.97114761  0.41571134
  11.13748063  6.84026532  2.19946198
   1.34222007  8.06699159  2.48156967
   1.31386718  3.97394868  2.42609492
   2.64342959  7.51279918  1.31344967
   6.38542033  4.50269883  0.46954882
   5.17050889  7.12122777  1.40994377
   3.62139612  4.31150860  1.36710559
   9.51017208  7.56427959  1.92391327
   9.26352675  4.87165316  0.91387408
  11.86831448  8.29772870  1.39775263
  11.38582766  5.17433191  1.79066040
   7.12851697  7.94417078  3.99823716
