Oxygen Aluminum Silicon                 
    1.0
   0.0000000000   12.5140000000   12.5140000000
   12.5140000000    0.0000000000   12.5140000000
   12.5140000000   12.5140000000    0.0000000000
96 24 24 
Cartesian
  22.27740000 12.51900560 15.15195000
  12.45140000 12.41140000  3.61655000
  24.22460000 14.34104000 14.21590000
  10.74700000 14.44616000  4.40743000
   9.00760000 18.76599440 15.15195000
   6.31960000  6.35960000  3.61655000
   7.06040000 16.94396000 14.21590000
   8.02400000  4.32484000  4.40743000
   9.00760000 12.51900560 16.13305000
   6.31960000 12.41140000 15.15445000
   7.06040000 14.34104000 17.06910000
   8.02400000 14.44616000 14.36357000
  22.27740000 18.76599440 16.13305000
  12.45140000  6.35960000 15.15445000
  24.22460000 16.94396000 17.06910000
  10.74700000  4.32484000 14.36357000
  15.15195000 22.27740000 12.51900560
   3.61655000 12.45140000 12.41140000
  14.21590000 24.22460000 14.34104000
   4.40743000 10.74700000 14.44616000
  15.15195000  9.00760000 18.76599440
   3.61655000  6.31960000  6.35960000
  14.21590000  7.06040000 16.94396000
   4.40743000  8.02400000  4.32484000
  16.13305000  9.00760000 12.51900560
  15.15445000  6.31960000 12.41140000
  17.06910000  7.06040000 14.34104000
  14.36357000  8.02400000 14.44616000
  16.13305000 22.27740000 18.76599440
  15.15445000 12.45140000  6.35960000
  17.06910000 24.22460000 16.94396000
  14.36357000 10.74700000  4.32484000
  12.51900560 15.15195000 22.27740000
  12.41140000  3.61655000 12.45140000
  14.34104000 14.21590000 24.22460000
  14.44616000  4.40743000 10.74700000
  18.76599440 15.15195000  9.00760000
   6.35960000  3.61655000  6.31960000
  16.94396000 14.21590000  7.06040000
   4.32484000  4.40743000  8.02400000
  12.51900560 16.13305000  9.00760000
  12.41140000 15.15445000  6.31960000
  14.34104000 17.06910000  7.06040000
  14.44616000 14.36357000  8.02400000
  18.76599440 16.13305000 22.27740000
   6.35960000 15.15445000 12.45140000
  16.94396000 17.06910000 24.22460000
   4.32484000 14.36357000 10.74700000
   2.75060000 12.50899440  9.87605000
  12.57660000 12.61660000 21.41145000
   0.80340000 10.68696000 10.81210000
  14.28100000 10.58184000 20.62057000
  16.02040000  6.26200560  9.87605000
  18.70840000 18.66840000 21.41145000
  17.96760000  8.08404000 10.81210000
  17.00400000 20.70316000 20.62057000
  16.02040000 12.50899440  8.89495000
  18.70840000 12.61660000  9.87355000
  17.96760000 10.68696000  7.95890000
  17.00400000 10.58184000 10.66443000
   2.75060000  6.26200560  8.89495000
  12.57660000 18.66840000  9.87355000
   0.80340000  8.08404000  7.95890000
  14.28100000 20.70316000 10.66443000
   9.87605000  2.75060000 12.50899440
  21.41145000 12.57660000 12.61660000
  10.81210000  0.80340000 10.68696000
  20.62057000 14.28100000 10.58184000
   9.87605000 16.02040000  6.26200560
  21.41145000 18.70840000 18.66840000
  10.81210000 17.96760000  8.08404000
  20.62057000 17.00400000 20.70316000
   8.89495000 16.02040000 12.50899440
   9.87355000 18.70840000 12.61660000
   7.95890000 17.96760000 10.68696000
  10.66443000 17.00400000 10.58184000
   8.89495000  2.75060000  6.26200560
   9.87355000 12.57660000 18.66840000
   7.95890000  0.80340000  8.08404000
  10.66443000 14.28100000 20.70316000
  12.50899440  9.87605000  2.75060000
  12.61660000 21.41145000 12.57660000
  10.68696000 10.81210000  0.80340000
  10.58184000 20.62057000 14.28100000
   6.26200560  9.87605000 16.02040000
  18.66840000 21.41145000 18.70840000
   8.08404000 10.81210000 17.96760000
  20.70316000 20.62057000 17.00400000
  12.50899440  8.89495000 16.02040000
  12.61660000  9.87355000 18.70840000
  10.68696000  7.95890000 17.96760000
  10.58184000 10.66443000 17.00400000
   6.26200560  8.89495000  2.75060000
  18.66840000  9.87355000 12.57660000
   8.08404000  7.95890000  0.80340000
  20.70316000 10.66443000 14.28100000
  11.17450000 13.43277800  3.08070000
   7.59650000  5.33822200  3.08070000
   7.59650000 13.43277800 15.69030000
  11.17450000  5.33822200 15.69030000
   3.08070000 11.17450000 13.43277800
   3.08070000  7.59650000  5.33822200
  15.69030000  7.59650000 13.43277800
  15.69030000 11.17450000  5.33822200
  13.43277800  3.08070000 11.17450000
   5.33822200  3.08070000  7.59650000
  13.43277800 15.69030000  7.59650000
   5.33822200 15.69030000 11.17450000
  13.85350000 11.59522200 21.94730000
  17.43150000 19.68977800 21.94730000
  17.43150000 11.59522200  9.33770000
  13.85350000 19.68977800  9.33770000
  21.94730000 13.85350000 11.59522200
  21.94730000 17.43150000 19.68977800
   9.33770000 17.43150000 11.59522200
   9.33770000 13.85350000 19.68977800
  11.59522200 21.94730000 13.85350000
  19.68977800 21.94730000 17.43150000
  11.59522200  9.33770000 17.43150000
  19.68977800  9.33770000 13.85350000
  11.18980000  3.11774000 13.39223300
   7.58120000 15.65326000 13.39223300
   7.58120000  3.11774000  5.37876700
  11.18980000 15.65326000  5.37876700
